aio:Continual_Learning	Continual Learning	skos:closeMatch	cso:life-long_learning	life-long learning	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	life-long learning
aio:DCN	Deep Convolutional Network	skos:closeMatch	cso:cnn	cnn	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	cnn
aio:Decision_Tree	Decision Tree	skos:closeMatch	cso:decision_tree	decision tree	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	decision tree
aio:Dimensionality_Reduction	Dimensionality Reduction	skos:closeMatch	cso:dimensionality_reduction	dimensionality reduction	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	dimensionality reduction
aio:ELM	Extreme Learning Machine	skos:closeMatch	cso:extreme_learning_machine	extreme learning machine	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	extreme learning machine
aio:ESN	Echo State Network	skos:closeMatch	cso:echo_state_network	echo state network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	echo state network
aio:Ensemble_Learning	Ensemble Learning	skos:closeMatch	cso:ensemble_learning	ensemble learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ensemble learning
aio:GAN	Generative Adversarial Network	skos:closeMatch	cso:gan	gan	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	gan
aio:GRU	Gated Recurrent Unit	skos:closeMatch	cso:gated_recurrent_unit	gated recurrent unit	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	gated recurrent unit
aio:Hierarchical_Clustering	Hierarchical Clustering	skos:closeMatch	cso:hierarchical_clustering	hierarchical clustering	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hierarchical clustering
aio:Institutional_Bias	Institutional Bias	skos:closeMatch	aio:Systemic_Bias	Systemic Bias	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	institutional bias
aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	k-nn
aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Classification_Algorithm	K-nearest Neighbor Classification Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	knn
aio:K-nearest_Neighbor_Algorithm	K-nearest Neighbor Algorithm	skos:closeMatch	aio:K-nearest_Neighbor_Regression_Algorithm	K-nearest Neighbor Regression Algorithm	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	k-nn
